name,address,city,lat,long,company,connector,power_supply,charging_speed,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
אייר 11,אייר 11,נתניה,32.2970505,34.8756196,EV-Edge,type 2,22.08,איטי,,
תחנת רכבת נתניה,דרך הרכבת 1,נתניה,32.3198589,34.8685328,EV-Edge,type 2,5.52,איטי,,
תחנת רכבת נתניה,דרך הרכבת 1,נתניה,32.3198589,34.8685328,EV-Edge,type 2,22.08,איטי,,
תחנת רכבת נתניה,דרך הרכבת 1,נתניה,32.3198589,34.8685328,EV-Edge,type 2,22.08,איטי,,
תחנת רכבת נתניה,דרך הרכבת 1,נתניה,32.3198589,34.8685328,EV-Edge,type 2,22.08,איטי,,
תחנת רכבת נתניה,דרך הרכבת 1,נתניה,32.3198589,34.8685328,EV-Edge,type 2,22.08,איטי,,
תחנת רכבת נתניה,דרך הרכבת 1,נתניה,32.3198589,34.8685328,EV-Edge,type 2,6.21,איטי,,
תחנת רכבת נתניה,דרך הרכבת 1,נתניה,32.3198589,34.8685328,EV-Edge,type 2,5.52,איטי,,
